episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
70,1360.0,533,41938,0.2,0.06742176148844392,458.35959046500005,True,False
71,1210.0,781,42719,0.2,0.0735859657995976,467.158791872,True,False
72,470.0,621,43340,0.2,0.0612156324637815,474.56423572700004,True,False
73,630.0,616,43956,0.2,0.07322542137744559,481.905506151,True,False
74,2060.0,731,44687,0.2,0.06858641622014917,490.684540584,True,False
75,910.0,744,45431,0.2,0.07228162032501992,498.908601704,True,False
76,350.0,365,45796,0.2,0.0764494181772613,504.611144789,True,False
77,820.0,643,46439,0.2,0.07017640951671637,511.75341865900003,True,False
78,870.0,663,47102,0.2,0.0698970456983535,518.792317482,True,False
79,840.0,839,47941,0.2,0.07368926755817873,528.7295975940001,True,False
80,240.0,392,48333,0.2,0.06320188606005846,533.3155267120001,True,False
81,450.0,572,48905,0.2,0.07670829756432897,539.4277641840001,True,False
82,300.0,369,49274,0.2,0.07954262266866863,543.6290108590001,True,False
83,740.0,766,50040,0.2,0.07316761478432454,551.9007745060001,True,False
84,1000.0,843,50883,0.2,0.07824534765400347,561.872343325,True,False
85,380.0,454,51337,0.2,0.08798234649165942,567.0713631860001,True,False
86,1210.0,1019,52356,0.2,0.07905895820289266,578.581803731,True,False
87,750.0,784,53140,0.2,0.06852606262023352,587.030541591,True,False
88,1540.0,857,53997,0.2,0.06681221096436972,596.9837287370001,True,False
89,370.0,525,54522,0.2,0.060852265177394144,602.874381891,True,False
